"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Standard deviation",3.11804462497386,2.47564150262474,2.34736975570522,2.21598447060299,1.65994149762437,1.60404437125835,1.43243744267872,1.16104426078909,4.42242012200793e-15
"Proportion of Variance",0.27778,0.17511,0.15743,0.1403,0.07873,0.07351,0.05863,0.03851,0
"Cumulative Proportion",0.27778,0.45289,0.61032,0.75062,0.82935,0.90286,0.96149,1,1
