"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"Standard deviation",2.97745184328206,2.6423566085602,2.28222683365956,1.70185120997933,1.5653372877878,1.26395980490355,3.80565761284064e-15
"Proportion of Variance",0.31661,0.24936,0.18602,0.10344,0.08751,0.05706,0
"Cumulative Proportion",0.31661,0.56597,0.75199,0.85543,0.94294,1,1
