"","Fruit Weight (KN1)","Fruit Length (KN2)","Fruit Width (KN3)","Fruit Stalk Length (KN4)","Fruit Stalk Width (KN5)","Diameter of Flesh With Skin (KN6)","Diameter of Flesh Without Skin (KN7)"
"Fruit Weight (KN1)",1,0.906876004821717,0.0415419930423551,0.42606661483691,0.466882235443384,-0.0230039048757959,-0.0240913356802698
"Fruit Length (KN2)",0.906876004821717,1,0.128803441783339,0.435713308831069,0.531241000247401,0.0646658741224045,0.0579547488142434
"Fruit Width (KN3)",0.0415419930423551,0.128803441783339,1,0.278287699803416,0.629529053269583,0.989260943114939,0.993185719900089
"Fruit Stalk Length (KN4)",0.42606661483691,0.435713308831069,0.278287699803416,1,0.730752690334637,0.183567537507821,0.191964852716154
"Fruit Stalk Width (KN5)",0.466882235443384,0.531241000247401,0.629529053269583,0.730752690334637,1,0.51178825137207,0.542612752638007
"Diameter of Flesh With Skin (KN6)",-0.0230039048757959,0.0646658741224045,0.989260943114939,0.183567537507821,0.51178825137207,1,0.99750259287551
"Diameter of Flesh Without Skin (KN7)",-0.0240913356802698,0.0579547488142434,0.993185719900089,0.191964852716154,0.542612752638007,0.99750259287551,1
