"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Habitus.Daun..V1.",-0.215230088128102,0.0851677080091648,-0.286338247107064,0.019031042476357,0.00678155822045504,0.0116020409214585,0.0131042908173026,0.194115872171237,0.107302851827816
"Kenampakan.permukaan.daun..V2.",-0.0605993355771011,0.219750090365488,0.0409804659952814,0.232685971586838,-0.36710490849553,-0.0162913579090148,0.0836513879752415,0.0712035048855925,-0.0440997895144953
"Bentuk.pangkal.daun..V3.",-0.159838149509671,-0.303311929925914,0.0814348353596079,-0.0640910604010014,0.190045319083188,0.0639888010305564,0.090757099944889,0.0552212471071427,0.268595196274698
"Warna.tulang.daun.atas..V4.",0.199613850810616,-0.112382448422998,0.0878037695527442,-0.10145645723543,-0.232132232000371,0.226202322650159,-0.0368388971234342,0.343727219123455,-0.0742072273275679
"Warna.tulang.daun.bawah..V5.",0.034725572726332,0.133767448893599,-0.289213494778808,0.147679492962998,0.241784599460746,-0.0887163997981684,0.206740407614455,0.175645635425841,0.245774772202274
"Lilin.pada.daun..V6.",-0.0947484619861153,-0.135867646704386,-0.181013390010565,-0.220673062789199,-0.17256136267313,-0.330042253058375,-0.0542473339984477,-0.0925876782449938,-0.149122957883281
"Bentuk.pangkal.helaian.daun..V7.",0.233018129601429,-0.0286544021667267,0.0123381695176008,-0.287579131665751,-0.0848587012860002,-0.0611772849219609,0.0879203174751453,-0.104751366871745,0.0701232605169419
"Warna.atas.daun..V8.",-0.064020937403838,0.154879455446242,-0.203918956318925,-0.307521322293357,0.0640377045051212,0.178072605779029,0.107988553827968,0.045588173310256,-0.0254574058658147
"Warna.bawah.daun..V9.",0.0241466656782959,-0.0956373597172875,-0.0878473732953565,-0.12145747843611,0.219015135399149,-0.175438873780001,0.517618318298246,0.214791071418348,-0.160737451230067
"Tekstur.permukaan.daun..V10.",-0.097481218313365,0.0494640004566454,-0.179872746767963,-0.335154299760502,0.0326298379934543,-0.112552528407188,0.0211840050309868,-0.306086539432588,0.338204638462514
"Tipe.Tegakan.Daun..V11.",-0.215230088128102,0.0851677080091648,-0.286338247107064,0.019031042476357,0.00678155822045511,0.0116020409214586,0.0131042908173027,0.194115872171237,0.068173149130988
"Warna.batang.semu..V12.",0.0164798201379173,0.244169420677242,0.255477997763829,-0.219061033638731,-0.0567550239928369,-0.00529459823533567,-0.116195783433047,0.00454054204314102,0.0255889267479091
"Bentuk.batang.semu..V13.",-0.269231912664014,-0.0465681714125323,0.151836815572527,0.00688914574588388,-0.10168163369636,-0.107642015356674,-0.104412948815596,0.234376995136414,-0.0514610569967511
"Aspek.batang.semu..V14.",-0.263543897339034,-0.0232221886806923,0.218170277199406,-0.0491723794399611,-0.114830811900494,-0.0170206056749858,0.0679035748870928,-0.0235773388651497,0.018932747300251
"Posisi.tandan..V15.",0.0454823948272539,-0.297569434269324,0.153234672912563,-0.0652694268194449,0.141300582646278,0.292105568044287,0.00695892272939761,0.0952983554118795,0.206980109271321
"Bentuk.tandan..V16.",0.0118271276206273,0.0834444521595847,0.261908524802409,0.173487794412524,-0.131580582321035,-0.367898043989136,0.0231577580284463,0.156790673890043,0.152835032110895
